model,class,weather,baseline_iou,weighted_iou,delta_iou
DeepLabV3+,truck,fog,0.8071260785196337,0.8258382299128483,0.018712151393214582
DeepLabV3+,truck,lowlight,0.5578057852731935,0.5613686515787746,0.003562866305581114
DeepLabV3+,truck,rain,0.4659400839695954,0.3972291084606508,-0.06871097550894462
DeepLabV3+,truck,snow,0.1082665587069275,0.1130077338701133,0.0047411751631857985
SegFormer-B2,autorickshaw,all,0.7278737902961259,0.7006402183731464,-0.027233571922979483
SegFormer-B2,autorickshaw,fog,0.7431224838355496,0.7490595935239408,0.005937109688391229
SegFormer-B2,autorickshaw,lowlight,0.4044697009453695,0.7115690314983809,0.3070993305530114
SegFormer-B2,autorickshaw,rain,0.7791204220573105,0.695392025071465,-0.08372839698584544
SegFormer-B2,autorickshaw,snow,,,
SegFormer-B2,bicycle,all,0.0,0.0,0.0
SegFormer-B2,bicycle,fog,0.0,0.0,0.0
SegFormer-B2,bicycle,lowlight,0.0,0.0,0.0
SegFormer-B2,bicycle,rain,0.0,,
SegFormer-B2,bicycle,snow,,,
SegFormer-B2,bus,all,0.8529172152356076,0.8044844868814458,-0.04843272835416179
SegFormer-B2,bus,fog,0.8608313473560598,0.8285717112977681,-0.03225963605829174
SegFormer-B2,bus,lowlight,0.8991952182660671,0.8558704352643143,-0.0433247830017528
SegFormer-B2,bus,rain,0.7572485762345865,0.6865620095564094,-0.07068656667817708
SegFormer-B2,bus,snow,0.0,0.0,0.0
SegFormer-B2,car,all,0.8583660131292231,0.8460846946393732,-0.012281318489849924
SegFormer-B2,car,fog,0.8583706091071763,0.8307928471190646,-0.027577761988111682
SegFormer-B2,car,lowlight,0.8293099432354557,0.8298894134609363,0.0005794702254805495
SegFormer-B2,car,rain,0.8825700469877781,0.8617848621503132,-0.020785184837464832
SegFormer-B2,car,snow,0.8518027247818073,0.8438845608643005,-0.00791816391750677
SegFormer-B2,motorcycle,all,0.6239097937782179,0.5504151932167884,-0.07349460056142942
SegFormer-B2,motorcycle,fog,0.6117254024139211,0.5503469572789214,-0.06137844513499979
SegFormer-B2,motorcycle,lowlight,0.6405029841906237,0.5970225055524814,-0.043480478638142306
SegFormer-B2,motorcycle,rain,0.6549286233795867,0.5638342109587671,-0.09109441242081961
SegFormer-B2,motorcycle,snow,0.2662784447231679,0.2260062846027233,-0.04027216012044463
SegFormer-B2,person,all,0.6690687119911685,0.5943486350911881,-0.07472007689998039
SegFormer-B2,person,fog,0.6447424281646389,0.5925130099043142,-0.05222941826032468
SegFormer-B2,person,lowlight,0.7255334420122452,0.6230919701290011,-0.10244147188324415
SegFormer-B2,person,rain,0.5244115445396323,0.4309620028784466,-0.09344954166118574
